#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
894,Union Street IPA,Doylestown Brewing Company,"Doylestown, PA",American IPA,12 oz.,???,N/A,IPA
895,Universale Pale Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,5.60%,30,Ale
896,Up River Light,Mudshark Brewing Company,"Lake Havasu City, AZ",Light Lager,12 oz.,4.20%,N/A,Lager
897,Upslope Belgian Style Pale Ale,Upslope Brewing Company,"Boulder, CO",Belgian Pale Ale,12 oz.,7.50%,N/A,Ale
898,Upslope Brown Ale,Upslope Brewing Company,"Boulder, CO",English Brown Ale,12 oz.,6.70%,N/A,Ale
899,Upslope Christmas Ale,Upslope Brewing Company,"Boulder, CO",Winter Warmer,16 oz.,8.20%,N/A,Other
900,Upslope Craft Lager,Upslope Brewing Company,"Boulder, CO",Vienna Lager,12 oz.,4.80%,22,Lager
901,Upslope Foreign Style Stout,Upslope Brewing Company,"Boulder, CO",Foreign / Export Stout,12 oz.,6.90%,N/A,Stout
902,Upslope India Pale Ale,Upslope Brewing Company,"Boulder, CO",American IPA,12 oz.,7.20%,N/A,IPA
903,Upslope Pale Ale,Upslope Brewing Company,"Boulder, CO",American Pale Ale (APA),12 oz.,5.80%,N/A,Ale
904,Upslope Pumpkin Ale,Upslope Brewing Company,"Boulder, CO",Pumpkin Ale,16 oz.,7.70%,N/A,Ale
905,Urban Wilderness Pale Ale,Sleeping Lady Brewing Company,"Anchorage, AK",English Pale Ale,12 oz.,4.90%,N/A,Ale
906,Vanilla Bean Buffalo Sweat,Tallgrass Brewing Company,"Manhattan, KS",Oatmeal Stout,16 oz.,5%,N/A,Stout
907,Velvet Rooster,Tallgrass Brewing Company,"Manhattan, KS",Tripel,16 oz.,8.50%,N/A,Other
908,Very Noddy Lager (Current),Buckbean Brewing Company,"Reno, NV",Schwarzbier,16 oz.,10.50%,N/A,Other
909,Vienna Lager,Revolution Brewing,"Paonia, CO",Vienna Lager,16 oz.,4.60%,N/A,Lager
910,Viennese Lager,Bohemian Brewery,"Midvale, UT",Vienna Lager,12 oz.,5%,N/A,Lager
911,Vivant Belgian Style Imperial Stout,Brewery Vivant,"Grand Rapids, MI",Russian Imperial Stout,16 oz.,10%,N/A,Stout
912,Vivant Tripel,Brewery Vivant,"Grand Rapids, MI",Tripel,16 oz.,9.20%,N/A,Other
913,Voodoo Bengal Pale Ale,Tin Roof Brewing Company,"Baton Rouge, LA",American Pale Ale (APA),12 oz.,5.50%,37,Ale
914,Vortex IPA,Fort George Brewery,"Astoria, OR",American IPA,16 oz.,7.40%,97,IPA
915,Wachusett Blueberry Ale,Wachusett Brewing Company,"Westminster, MA",Fruit / Vegetable Beer,12 oz.,4.50%,10,Other
916,Wachusett Summer,Wachusett Brewing Company,"Westminster, MA",American Pale Wheat Ale,12 oz.,4.70%,N/A,Ale
917,Walloon,Southern Star Brewing Company,"Conroe, TX",Saison / Farmhouse Ale,12 oz.,5.50%,N/A,Ale
918,Walter's Premium Pilsener Beer,Northwoods Brewpub,"Eau Claire, WI",German Pilsener,12 oz.,4.50%,N/A,Other
919,Wapiti Amber Ale,Mogollon Brewing Company,"Flagstaff, AZ",American Amber / Red Ale,12 oz.,5%,N/A,Ale
920,Washita Wheat,Mustang Brewing Company,"Mustang, OK",American Pale Wheat Ale,12 oz.,5.30%,14,Ale
921,Watershed IPA,Oakshire Brewing,"Eugene, OR",American IPA,12 oz.,6.70%,70,IPA
922,Watership Brown Ale,Red Hare Brewing Company,"Marietta, GA",American Brown Ale,12 oz.,7.20%,55,Ale
923,Wee Mac Scottish-Style Ale,Sun King Brewing Company,"Indianapolis, IN",Scottish Ale,16 oz.,5.40%,23,Ale
924,Wee Muckle,Sun King Brewing Company,"Indianapolis, IN",Scotch Ale / Wee Heavy,16 oz.,9%,30,Ale
925,Weisse Versa,Karbach Brewing Company,"Houston, TX",Hefeweizen,12 oz.,5.20%,15,Other
926,West Sixth Amber Ale,West Sixth Brewing,"Lexington, KY",American Amber / Red Ale,12 oz.,5.50%,N/A,Ale
927,West Sixth IPA,West Sixth Brewing,"Lexington, KY",American IPA,12 oz.,???,N/A,IPA
928,Westbrook IPA,Westbrook Brewing Company,"Mt. Pleasant, SC",American IPA,12 oz.,6.80%,65,IPA
